Название вакансии,Название компании,Ссылка на компанию,Ссылка на вакансию,Дата открытия вакансии,Ссылка на логотип,Вилка
Ruby on Rails Team Lead,SberMarket,https://career.habr.com/companies/sbermarket,https://career.habr.com/vacancies/1000071794,9 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/444/6/logo/medium_08766a25ce48ec403132e7091dc391fa.png,от 300 000 до 350 000 ₽
React.js разработчик для работы над PWA,Brilliant Consulting SL,https://career.habr.com/companies/brilliantconsulting,https://career.habr.com/vacancies/1000067403,9 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/166/2/logo/medium_6afb274b6ecfe59c26f9f98c0dd77822.png,от 2 500 до 6 000 $
Lead Mobile SDK Engineer (iOS),Apphud,https://career.habr.com/companies/apphud,https://career.habr.com/vacancies/1000070468,8 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/771/5/logo/medium_c53a89bedd13018a5db7e5cb0b597cf5.png,от 250 000 до 350 000 ₽
Senior Frontend Developer (React),American Estate & Trust,https://career.habr.com/companies/1fca1eea-3a76-404f-be9f-29725bda17a1,https://career.habr.com/vacancies/1000070961,8 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/269/3/logo/medium_c5e52c4ed6e11b45ba414d39c5a2cd6e.png,от 4 000 до 6 000 $
Senior / Node.JS Backend Team Lead,ColdStack,https://career.habr.com/companies/coldstack,https://career.habr.com/vacancies/1000071683,6 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/284/4/logo/medium_62e69d66bedd59ff87d4d8291a93d352.png,от 3 500 до 5 000 $
Rails programmer (Senior),Uscreen,https://career.habr.com/companies/uscreen,https://career.habr.com/vacancies/1000062152,6 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/904/9/logo/medium_6b3f414fed2668389f3f592552aac438.jpg,от 3 000 до 5 000 $
"Frontend-разработчик middle/senior (React, Typescript)",ТУ СОФТ,https://career.habr.com/companies/tusoft,https://career.habr.com/vacancies/1000071662,5 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/209/8/logo/medium_d67de99725eed9b4364501040d91cab4.png,от 200 000 до 350 000 ₽
Java Tech Lead / AEM,Tri Foundation,https://career.habr.com/companies/trifoundation,https://career.habr.com/vacancies/1000071574,4 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/128/1/logo/medium_50505e8912acfd45db1364a2ef946427.png,от 6 600 $
Senior Angular Developer,Tri Foundation,https://career.habr.com/companies/trifoundation,https://career.habr.com/vacancies/1000071573,4 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/128/1/logo/medium_50505e8912acfd45db1364a2ef946427.png,от 3 700 до 6 400 $
Cyber Security Engineer[Security team],Coins.ph,https://career.habr.com/companies/coins-ph,https://career.habr.com/vacancies/1000071500,4 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/038/6/logo/medium_33346445a2f936c7b1668f3dc04b4d10.png,от 4 000 до 5 500 $
